RNG Hexa,RNG Index,Instant mash ?,Frame 1,Frame 2,Frame 3,Frame 4,Frame 5,Frame 6,Frame 7,Frame 8,Frame 9,Frame 10
a53e299e,241,NO = 72,Elastoid / Mask / Giant / Malboro,Elnoyle / Biggs / Grat / Unicorn,Giant / Bird / Beast / Jelleye,Elastoid / Biggs / Unicorn / Chimera,Grendel / Bird / Glacial / Jelleye,Mantis / Giant / Creeps / Bird,Glacial / Bird / Mask / Jelleye,Creeps / Biggs / Robot / Buel,Biggs / Bird / Malboro / Glacial,Giant / Snake / Creeps / Bird
a4825987,242,YES = 0,King / Giant / Unicorn / Bird,Chimera / Snake / Grendel / Giant,Robot / Beast / Mask / Mantis,King / Snake / Elastoid / Unicorn,Buel / Beast / Snake / Elastoid,Mask / Creeps / Snake / Ruby,Grendel / Beast / Ruby / King,Grat / Creeps / Giant / Glacial,Mask / Chimera / King / Grendel,Elnoyle / Grendel / King / Robot
b4748c1c,243,YES = 0,Mantis / Glacial / Buel / Robot,Glacial / King / Beast / Jelleye,Creeps / Mask / Bird / Malboro,King / Robot / Grendel / Chimera,Chimera / Mask / Malboro / Biggs,Malboro / Biggs / Snake / Chimera,King / Mask / Elnoyle / Elastoid,Unicorn / Biggs / Grendel / Malboro,Snake / Bird / Jelleye / King,Jelleye / Giant / Biggs / Mask
f88d9e6d,244,NO = 66,Buel / Grat / Grendel / Ruby,Mask / Robot / Biggs / King,Grendel / Grat / Mantis / Buel,Giant / Malboro / Glacial / Mantis,Buel / Giant / Bird / King,Ruby / Snake / Unicorn / Grendel,Biggs / Beast / Chimera / Mantis,Creeps / Glacial / Unicorn / Grat,Creeps / Beast / Elastoid / Mask,Mantis / Creeps / Robot / Snake
d8e0664a,245,NO = 76,Robot / Chimera / Grat / Giant,King / Grendel / Chimera / Malboro,Buel / Chimera / Unicorn / Robot,Mask / Grendel / Glacial / Ruby,Grendel / Glacial / Elastoid / King,Grat / King / Bird / Beast,Elastoid / Glacial / Robot / Giant,Elnoyle / King / Snake / Malboro,Giant / Mask / Creeps / Elnoyle,Elastoid / King / Elnoyle / Mantis
772dab43,246,NO = 6,Snake / Creeps / Buel / Unicorn,Biggs / Chimera / Beast / Bird,Chimera / Ruby / Bird / Mask,Malboro / Unicorn / Glacial / Giant,King / Elnoyle / Elastoid / Chimera,Buel / Glacial / Bird / Elastoid,Bird / Elnoyle / Snake / Ruby,Jelleye / Glacial / Malboro / King,Buel / King / Creeps / Beast,Bird / Glacial / Elnoyle / Snake
6c878ba8,247,NO = 95,Biggs / Elastoid / Malboro / Chimera,Mantis / Creeps / Mask / Buel,Ruby / Robot / Elnoyle / Creeps,Biggs / Giant / Grendel / Jelleye,Glacial / Bird / Mantis / Grat,Snake / Giant / Biggs / Glacial,Mantis / Snake / Grat / Bird,Unicorn / Giant / Grendel / Biggs,Robot / Snake / Unicorn / Mantis,King / Beast / Unicorn / Buel
564a5d89,248,YES = 0,Malboro / Buel / Bird / King,Jelleye / Ruby / Malboro / Giant,Buel / Unicorn / Creeps / Giant,Bird / Ruby / Robot / Giant,Jelleye / Unicorn / Grendel / Elnoyle,Beast / Elnoyle / Jelleye / Biggs,Robot / Unicorn / Biggs / Beast,King / Elnoyle / Mantis / Elastoid,Giant / Glacial / Beast / Malboro,Elastoid / King / Buel / Jelleye
3dd5dbb6,249,YES = 0,Beast / Grendel / Biggs / King,Bird / Jelleye / Biggs / Chimera,Grendel / Glacial / Mantis / Elastoid,Grat / King / Ruby / Malboro,Mask / Beast / King / Snake,Ruby / Biggs / Unicorn / Buel,Giant / Mask / Chimera / Glacial,Elastoid / Biggs / Mask / Bird,Ruby / Bird / Mask / Grendel,Biggs / Robot / Mantis / Grendel
3c1f2ebf,250,NO = 113,Buel / Ruby / Robot / Malboro,Bird / Buel / Elnoyle / Chimera,Grendel / Ruby / Malboro / Giant,Buel / Unicorn / Creeps / Chimera,Robot / Grendel / Elnoyle / Elastoid,Ruby / Chimera / Elnoyle / Elastoid,Giant / Grendel / Mantis / King,Elastoid / Biggs / Beast / Robot,Creeps / Jelleye / Grat / Glacial,Grat / Buel / Bird / Ruby
e91721f4,251,YES = 0,Unicorn / Chimera / Bird / Ruby,Snake / Grendel / Malboro / King,Mantis / Malboro / Beast / Elnoyle,Unicorn / Grendel / Glacial / Snake,Malboro / Elnoyle / Robot / Mantis,King / Jelleye / Elnoyle / Mask,Beast / Elastoid / Jelleye / Biggs,Robot / Jelleye / Giant / Chimera,Jelleye / Elastoid / Grat / Buel,Buel / Mantis / Beast / Creeps
f6339465,252,NO = 85,Giant / Grat / Glacial / Grendel,Robot / Malboro / Glacial / Elastoid,Ruby / Grat / Robot / Elnoyle,Giant / Malboro / Snake / Mask,Glacial / Grat / Malboro / Chimera,Snake / Malboro / Creeps / Elastoid,Mantis / Buel / Grendel / Ruby,Unicorn / Ruby / Elnoyle / Jelleye,Snake / Beast / Mantis / Buel,Biggs / Creeps / Glacial / Bird
5a3bf5e2,253,NO = 132,Robot / Snake / Mask / King,Malboro / Grat / Elnoyle / Snake,Mantis / Malboro / Grendel / Jelleye,Glacial / Grat / King / Giant,Snake / Malboro / King / Grendel,Mantis / Buel / Grat / Robot,Glacial / Malboro / Giant / Elnoyle,Robot / Buel / Biggs / Bird,King / Ruby / Unicorn / Beast,Chimera / Unicorn / Elastoid / Snake
43625ffb,254,NO = 118,Elastoid / Mantis / Ruby / Giant,Elnoyle / Robot / Chimera / Grat,Buel / Grat / Grendel / Elastoid,Glacial / Robot / Biggs / Creeps,Creeps / Grat / Mantis / Jelleye,Grat / Malboro / Giant / Buel,Glacial / Buel / Giant / Grendel,Ruby / Malboro / Unicorn / Bird,Giant / Buel / Chimera / Grendel,Ruby / Glacial / Mantis / Mask
54a19b00,255,YES = 0,Mantis / Ruby / Biggs / Unicorn,Glacial / Unicorn / Grat / Bird,Malboro / Creeps / Giant / King,Biggs / Chimera / Jelleye / Elastoid,Grendel / Unicorn / Buel / Mantis,Malboro / Glacial / Bird / Giant,Jelleye / Grendel / Glacial / Snake,Unicorn / Robot / Grendel / Creeps,Bird / Jelleye / Robot / Mantis,Jelleye / Elastoid / Snake / Chimera
95481f01,256,NO = 54,Biggs / Elnoyle / Mask / Malboro,Chimera / Glacial / Snake / King,Malboro / King / Giant / Creeps,King / Glacial / Creeps / Biggs,Beast / King / Ruby / Robot,Bird / Mask / Jelleye / Ruby,Grendel / King / Jelleye / Mantis,Buel / Elastoid / Biggs / Beast,Bird / Mantis / Grat / Mask,Elnoyle / Robot / Beast / Snake
5354e0ce,257,YES = 0,Snake / Bird / Grendel / Unicorn,Mantis / Biggs / King / Creeps,Glacial / Bird / Mantis / Biggs,Malboro / Giant / Beast / Jelleye,Biggs / Snake / Giant / Bird,Giant / Unicorn / Malboro / Mantis,Robot / Snake / Chimera / Elnoyle,King / Beast / Glacial / Giant,Unicorn / Snake / Chimera / Elnoyle,Bird / Beast / Robot / Buel
eb307af7,258,NO = 6,Snake / Buel / Ruby / King,Biggs / Ruby / Elnoyle / Giant,Unicorn / Jelleye / Grendel / Biggs,Robot / Ruby / Biggs / Mask,King / Unicorn / Mantis / Elnoyle,Unicorn / Elnoyle / Giant / Biggs,Bird / Unicorn / Beast / Biggs,Jelleye / Elnoyle / Unicorn / Elastoid,Buel / Glacial / Chimera / Snake,Robot / King / Mask / Jelleye
470802cc,259,NO = 41,Robot / Malboro / Biggs / Mantis,Elnoyle / Buel / Grat / Giant,Beast / Malboro / Mask / Elnoyle,Bird / Buel / Chimera / Snake,Grendel / Ruby / Unicorn / King,Grat / Unicorn / Giant / Robot,Mask / Ruby / Chimera / Giant,Ruby / Chimera / Robot / Malboro,Giant / Grendel / Robot / Ruby,Elastoid / Creeps / Biggs / Ruby
4c5a995d,260,NO = 131,Jelleye / Elnoyle / Robot / Mantis,Giant / Glacial / Bird / Unicorn,Elastoid / Jelleye / Ruby / Mask,Ruby / Creeps / Grendel / Mask,Giant / Jelleye / Creeps / Unicorn,Elastoid / Elnoyle / Grat / Jelleye,Creeps / Mantis / Jelleye / Glacial,Grat / Elastoid / Mantis / Bird,Glacial / Mantis / Biggs / Elnoyle,Snake / Robot / Buel / Biggs
57b3887a,261,YES = 0,Bird / Robot / Giant / Snake,Malboro / Giant / Unicorn / Creeps,King / Bird / Snake / Creeps,Unicorn / Giant / Elnoyle / Grendel,Bird / Snake / Grendel / Mantis,XX,XX,XX,XX,XX
e12c7bb3,262,NO = 49,Mask / Biggs / Beast / Glacial,Snake / Bird / Glacial / Chimera,Mantis / Giant / Glacial / Elastoid,Glacial / Bird / Elastoid / Ruby,Malboro / Grat / Bird / Jelleye,Biggs / Malboro / Grat / Beast,Grat / Malboro / Glacial / Creeps,Robot / Malboro / Grendel / Bird,Jelleye / Buel / Elnoyle / Grendel,Unicorn / Ruby / Jelleye / Mantis
0e9a2558,263,NO = 92,Elnoyle / Grendel / Unicorn / Snake,Beast / Jelleye / Chimera / Giant,Robot / Grendel / Grat / Creeps,Creeps / Glacial / Bird / Grendel,Grat / King / Robot / Bird,Mask / Snake / Creeps / Malboro,Creeps / King / Mantis / Jelleye,Grat / Mask / Elnoyle / Buel,Elastoid / Biggs / Grendel / Mask,Ruby / Mask / King / Malboro
aaad5f79,264,YES = 0,Robot / Buel / Elnoyle / Giant,Jelleye / Ruby / Malboro / Grat,XX,XX,XX,XX,XX,XX,XX,XX
da2798e6,265,YES = 0,Biggs / Beast / King / Buel,Chimera / Snake / Biggs / Mask,Snake / Beast / Grat / Buel,Mantis / Creeps / Giant / Grendel,Unicorn / Chimera / Grat / Creeps,Snake / Creeps / Unicorn / Grendel,Jelleye / Chimera / Bird / Grendel,Beast / Grendel / Glacial / Creeps,Robot / Chimera / King / Glacial,King / Grendel / Bird / Beast
4d5f1e2f,266,NO = 26,Robot / Creeps / Biggs / Chimera,Elnoyle / Chimera / Jelleye / Robot,Buel / Grendel / King / Mantis,Glacial / Mantis / Unicorn / Malboro,Creeps / Elnoyle / Biggs / Mask,Grat / Glacial / Beast / Creeps,Glacial / King / Buel / Jelleye,Ruby / Mask / Chimera / Grat,Giant / King / Glacial / Elastoid,Mask / Elastoid / Bird / Jelleye
e7e28ea4,267,YES = 0,Giant / Glacial / Snake / Unicorn,Elastoid / King / Elnoyle / Mask,Ruby / Mask / Grendel / Creeps,Giant / King / Jelleye / Malboro,Elastoid / Mask / Mantis / Grat,Creeps / Mantis / Grat / Glacial,Grat / Robot / Giant / Bird,Unicorn / Mantis / Buel / Grendel,Snake / Robot / Chimera / Mantis,Biggs / Grat / Glacial / Beast
