RNG Hexa,RNG Index,Frame 1,Frame 2,Frame 3,Frame 4,Frame 5,Frame 6,Frame 7,Frame 8,Frame 9,Frame 10
4db1e3df,218,(Elastoid9) F2 (Buel3) I6 (Q4) B5 (Creeps1) T8 (Glacial7),C1 (Jelleye2) B4 (Robot5) T7 (Bird8) I9 (Q3) F6,(Q9) F1 (Creeps4) B2 (Grat5) I8 (Robot3) C6 (Jelleye7),F1 (Q4) B2 (King5) T7 (Grat6) C3 (Glacial8) I9,C1 (Robot4) F2 (Elastoid5) B3 (Ruby6) T7 (Q9) I8,(Biggs9) C2 (Elnoyle3) I6 (Q8) B7 (Grendel1) F5 (Grat4),T2 (Q1) C5 (Giant6) F3 (Biggs4) I9 (Malboro8) B7,B2 (Q5) T4 (Beast7) C1 (Elastoid6) F3 (Grat8) I9,C3 (Grendel2) B6 (Q5) F9 (Snake8) T1 (Mantis7) I4,C1 (Malboro4) F2 (Beast5) T7 (Q8) B3 (Giant6) I9
23e4cc94,219,(Q7) F1 (Giant4) B2 (Mantis5) I8 (King6) C3 (Buel9),(Q7) F1 (Chimera4) B2 (Glacial8) I5 (Robot3) C9 (Grat6),(Q3) F1 (Beast2) B4 (Snake5) T7 (Mantis6) C8 (Malboro9),(Robot7) F1 (Grendel2) T4 (Jelleye9) B5 (Q8) C6 (Buel3),(Q3) F1 (Glacial2) B4 (Mantis5) T7 (Grat8) C9 (Buel6),C1 (Bird4) F2 (Jelleye5) T7 (Unicorn8) B3 (Q6) I9,F1 (Grendel2) B4 (Mantis5) T7 (Q8) I9 (Giant6) C3,(Robot4) F3 (Q2) T1 (Creeps7) B6 (Beast9) C8 (Snake5),(Robot7) F3 (Malboro2) B6 (Q5) I9 (Beast1) T4 (Jelleye8),(Elnoyle9) C1 (Q4) F2 (Giant5) I8 (Snake3) B6 (Creeps7)
292f5685,220,F2 (Beast3) B6 (Chimera5) I9 (Q4) T1 (Jelleye8) C7,(Elastoid9) B1 (Robot4) F2 (Ruby5) I7 (Q3) C6 (Buel8),B1 (Q4) F2 (Beast5) T7 (Ruby6) C3 (Unicorn9) I8,(Elnoyle9) F1 (Malboro2) B4 (King5) T7 (Q8) I6 (Ruby3),F1 (Beast4) B2 (Mask5) C3 (Unicorn6) T7 (Giant8) I9,F1 (Elastoid2) B4 (Elnoyle5) T7 (Q3) C6 (Grendel8) I9,F1 (Elnoyle2) B4 (Chimera5) T7 (Robot6) C3 (Malboro8) I9,(Grendel7) F1 (King2) T4 (Q8) I5 (Grat9) C6 (Snake3),F3 (King6) T2 (Glacial5) C1 (Mantis4) I9 (Q8) B7,F1 (Biggs4) B2 (Jelleye5) T7 (Q6) I8 (Buel3) C9
b8d20982,221,(Q7) F1 (Giant4) C2 (Robot5) I8 (Glacial9) B6 (Chimera3),F1 (Robot4) B2 (Mantis5) I7 (Grendel6) C3 (Chimera8) T9,(Elnoyle9) F1 (Q2) B4 (Mask5) T7 (Unicorn8) I6 (Robot3),(Q3) F1 (Robot2) B4 (Buel5) T7 (Ruby6) C8 (Grat9),(Biggs9) F2 (Malboro1) T6 (Mask5) C3 (Q4) B8 (Snake7),(Giant7) C1 (Q4) F2 (Snake5) B3 (Beast6) I8 (Grendel9),(Q4) F2 (Buel5) T1 (Ruby8) C9 (Bird6) B3 (Snake7),(Elastoid9) F1 (Beast2) B4 (Grendel5) T7 (Q8) I6 (Snake3),(Elnoyle9) F1 (King2) B4 (Grendel5) T7 (Q6) I8 (Snake3),T6 (Beast9) F2 (Q5) C3 (King4) B1 (Giant7) I8
b42f371b,222,F1 (Q4) B2 (Grat5) T7 (Creeps8) I9 (Glacial3) C6,F1 (Unicorn4) B2 (Q5) T7 (Ruby6) C3 (King9) I8,(Glacial9) F1 (Grendel4) B2 (Q5) I7 (Mantis3) T8 (Bird6),F1 (King4) B2 (Creeps5) I7 (Unicorn9) C3 (Q8) T6,(Biggs9) C1 (Snake2) F4 (Q5) I6 (Mask7) B3 (Jelleye8),(Biggs9) B2 (King3) I6 (Mantis8) C5 (Q4) T7 (Buel1),(Q9) F1 (Glacial4) B2 (Mask5) I8 (Giant6) C3 (Chimera7),(Biggs9) F1 (Buel2) B4 (Creeps5) T7 (Q8) C6 (Malboro3),(Elnoyle9) C1 (Chimera2) B4 (Robot5) T7 (Q8) I6 (King3),(Biggs9) T7 (Q4) F2 (Chimera5) I8 (Beast3) B6 (Mantis1)
e6b67fa0,223,(Unicorn7) F3 (Q6) T5 (Giant8) I9 (Robot4) C2 (Mantis1),(Elastoid9) F1 (Robot2) B4 (Mask5) T7 (Q6) I8 (Creeps3),C2 (Glacial3) F6 (Biggs5) T1 (Ruby4) I7 (Elnoyle8) B9,(Biggs9) F2 (Q1) T6 (Elnoyle5) C3 (Bird8) I7 (Grat4),(Q3) F1 (Giant2) B4 (Beast5) T7 (Grendel6) I8 (Mask9),(Elastoid9) B4 (Q7) F2 (Biggs5) I8 (Creeps3) T1 (Bird6),(Q4) F3 (Malboro2) B6 (Mask5) T1 (Giant8) C9 (Mantis7),(Grendel7) F3 (Q6) T5 (Grat8) B9 (Snake4) C2 (Jelleye1),F3 (Beast6) T2 (Q5) C1 (Malboro4) B7 (Giant9) I8,F1 (Snake4) B2 (Beast5) C3 (Biggs6) T7 (Q9) I8
843f5321,224,(Elastoid9) F5 (Q4) B6 (Grat8) T7 (Unicorn3) I2 (Giant1),F3 (Q6) T2 (Elnoyle5) C1 (Beast8) I9 (Mask7) B4,(Beast9) F1 (Buel4) B2 (Q5) T7 (Unicorn6) C3 (Creeps8),(Elnoyle9) F1 (Unicorn2) B4 (Jelleye5) T7 (Glacial6) C8 (Q3),(Giant7) F1 (Beast2) T4 (Chimera8) I5 (Q6) C3 (Creeps9),(Elnoyle9) F4 (Q7) I8 (Mask5) T6 (Jelleye3) C2 (Grat1),(Elastoid9) F1 (Robot2) B4 (Jelleye5) T7 (Glacial6) C8 (Q3),(Elnoyle9) C1 (Q4) T7 (Mantis5) I2 (Ruby6) B8 (Snake3),(Biggs9) B6 (Q5) T4 (Elastoid7) F8 (Snake3) I2 (Giant1),(Elnoyle9) B5 (Chimera8) T7 (Q4) F6 (Mantis3) I2 (Snake1)
710f3e6e,225,(Q1) F3 (King2) B6 (Unicorn5) C9 (Mantis4) I8 (Ruby7),(Elnoyle9) F2 (Robot5) T4 (Q1) I7 (Mask3) B6 (Buel8),(Q1) F3 (Grendel2) B6 (Bird5) C9 (Creeps4) I8 (Mantis7),(Q7) B3 (Jelleye6) T2 (Grendel1) F5 (Robot4) I8 (King9),F1 (Mantis4) B2 (Q5) T7 (Buel9) I8 (Grat6) C3,(Biggs9) F2 (Q1) T6 (Robot5) C3 (Bird8) I7 (Buel4),(Robot7) F1 (Ruby2) T4 (Grat3) B6 (Q5) I8 (Giant9),(Elnoyle9) F2 (Giant3) I6 (Q4) T1 (Buel8) B5 (Malboro7),(Biggs9) F2 (Beast1) T6 (Elastoid5) C3 (Q8) I7 (Chimera4),(Q7) B1 (Chimera2) T4 (Ruby3) I8 (Snake9) C6 (Unicorn5)
8dce9417,226,(Elnoyle9) C1 (Unicorn4) F2 (Beast5) I8 (Bird6) B3 (Q7),(Robot7) B1 (Q2) T4 (Beast3) F9 (Jelleye6) I8 (Glacial5),(Q1) T6 (Mask9) B2 (King5) C3 (Ruby8) I7 (Malboro4),(Jelleye9) F1 (Q2) B4 (Creeps7) I8 (Glacial6) C5 (Grendel3),(Elnoyle9) F1 (Bird2) B4 (King5) T7 (Q8) I6 (Grat3),(Q3) F1 (Mask2) B4 (Unicorn5) T7 (Glacial6) C8 (Grendel9),(Biggs9) F1 (Mask2) B4 (Creeps5) T7 (Q6) I8 (Mantis3),(Biggs9) F1 (Giant2) B4 (Q5) T7 (Mask8) I6 (Creeps3),T6 (Jelleye9) B2 (Q5) C3 (Grat8) I7 (Biggs1) F4,(Q1) F3 (Beast2) B6 (Bird5) C9 (Ruby8) T7 (Buel4)
a008c16c,227,B1 (Q2) F4 (Elastoid5) T7 (Grendel8) C9 (Unicorn6) I3,F2 (Beast3) B6 (Q5) C9 (Grat4) I7 (Creeps1) T8,F3 (Grendel6) T2 (Mask5) C1 (Biggs4) I9 (Q7) B8,(Elastoid9) B1 (Chimera4) T7 (Q5) I6 (Grat2) C3 (Mantis8),F2 (Malboro1) B4 (Jelleye5) T7 (Q3) C9 (Snake8) I6,(Biggs9) F2 (Chimera1) B4 (Snake5) I7 (Q8) C6 (Bird3),F3 (Unicorn6) T2 (Q5) C9 (Ruby7) B8 (Creeps4) I1,F1 (Robot4) B2 (Q5) T7 (Creeps6) C3 (Mantis9) I8,F3 (Biggs6) I9 (Q4) T2 (King5) C1 (Buel8) B7,(Elastoid9) F1 (Buel4) B2 (King5) T7 (Glacial6) C3 (Q8)
5a415f7d,228,F1 (Q4) B2 (Beast5) T7 (Glacial8) C3 (Mask9) I6,C1 (Biggs4) F2 (Q5) B3 (Elnoyle6) T7 (Grat9) I8,C1 (Q4) F2 (Malboro5) B8 (Robot9) T7 (Biggs3) I6,(Elnoyle9) C1 (Bird4) F2 (Grat5) T7 (Q6) B8 (Mask3),(Biggs9) F1 (Ruby2) B4 (Mantis5) T7 (Q6) C3 (Malboro8),(Biggs9) T6 (Q5) C3 (Buel7) F8 (Unicorn4) B2 (Snake1),(Elnoyle9) F1 (Q4) T7 (Glacial5) I2 (Malboro6) B8 (Mask3),(Elnoyle9) F2 (Snake3) I6 (Q4) C5 (Creeps8) T7 (Buel1),F3 (Q2) B6 (Mantis9) T1 (Jelleye4) I8 (Buel5) C7,F1 (Unicorn2) B4 (Q5) T7 (King9) C8 (Grat6) I3
f7afd01a,229,F3 (Biggs2) C5 (Elnoyle6) I9 (Grendel4) T1 (Mask7) B8,B3 (Giant2) F6 (Q5) T4 (Mantis1) C9 (Glacial7) I8,F1 (Buel4) B2 (Elnoyle5) T7 (Q6) I8 (Unicorn3) C9,F1 (Buel4) B2 (Biggs5) T7 (Q6) I8 (Mask3) C9,(Elnoyle9) F1 (Chimera2) B4 (King5) T7 (Q6) I8 (Snake3),(Beast9) F2 (Chimera1) B4 (Q5) C6 (Jelleye8) T7 (Glacial3),(Q7) F1 (Grendel4) I8 (King2) C9 (Glacial3) B6 (Grat5),(Elastoid9) C1 (Ruby2) B4 (Q5) T7 (Mask6) F3 (Glacial8),B3 (Q6) T2 (Mantis5) F9 (Bird4) C1 (Jelleye8) I7,(Elastoid9) F1 (Bird2) B4 (Q5) T7 (Glacial6) I3 (Grendel8)
1574f6d3,230,(Elnoyle9) C1 (Bird2) B4 (Snake5) T7 (Q6) F8 (Robot3),(Q8) F3 (King2) B6 (Grendel5) I9 (Creeps1) C7 (Glacial4),(Biggs9) B1 (Elnoyle2) F4 (Beast5) T7 (Q3) I8 (Ruby6),(Elastoid9) F1 (Q2) B4 (Beast7) I8 (Glacial6) C5 (Jelleye3),(Elastoid9) F2 (Q5) T4 (Grendel7) I8 (Mask3) C1 (King6),(Q4) F3 (Buel6) T2 (Mantis5) C1 (Mask7) I8 (Malboro9),F1 (Mantis4) B2 (Mask5) C3 (Bird6) T7 (King9) I8,(Beast8) C5 (Q4) T7 (Grendel9) B6 (Giant1) I2 (Mask3),(Q9) F1 (Chimera4) B2 (Beast5) I8 (Mantis3) C6 (Buel7),(Elastoid9) F1 (Robot2) B4 (Chimera5) T7 (Q6) I8 (Ruby3)
